tax,NCBI Taxonomy ID,Biotin,Cobalamin,Folate,Niacin,Pantothenate,Pyridoxin,Riboflavin,Thiamin,Body Site
Campylobacter rectus RM3267 (553218.4),553218,0,0,0,1,1,0,1,1,Oral
Campylobacter showae RM3277 (553219.3),553219,0,0,0,1,1,0,1,1,Oral
Campylobacter sp. FOBRC14 (936554.3),936554,0,0,1,1,1,0,1,1,Oral
Capnocytophaga gingivalis ATCC 33624 (553178.3),553178,0,0,1,0,1,1,1,0,Oral
Capnocytophaga ochracea str. Holt 25 (1125719.3),1125719,0,0,1,0,1,1,1,0,Oral
Capnocytophaga sp. oral taxon 335 str. F0486 (1125720.3),1125720,0,0,1,0,1,1,1,0,Oral
Capnocytophaga sputigena ATCC 33612 (553177.6),553177,0,0,1,0,1,1,1,0,Oral
Cardiobacterium hominis ATCC 15826 (638300.3),638300,0,0,1,0,0,0,1,1,Blood
Centipeda periodontii DSM 2778 (888060.3),888060,0,1,0,0,0,0,1,0,Oral
Chryseobacterium gleum ATCC 35910 (525257.3),525257,0,0,0,1,1,1,1,1,Urogenital_tract
Clostridiales genomosp. BVAB3 str. UPII9-5 (699246.3),699246,0,0,0,0,0,0,0,1,Urogenital_tract
Clostridium sp. MSTE9 (1105031.3),1105031,0,0,0,0,0,1,1,1,Oral
Corynebacterium accolens ATCC 49726 (862512.3),862512,1,0,1,1,0,1,1,1,Airways
Corynebacterium amycolatum SK46 (553204.6),553204,0,1,1,1,1,1,1,1,Skin
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7),548476,0,0,1,0,1,1,1,1,Urogenital_tract
Corynebacterium efficiens YS-314 (Prj:34585) (196164.10),196164,0,0,1,1,1,0,1,1,Skin
Corynebacterium genitalium ATCC 33030 (585529.3),585529,0,0,1,1,0,0,1,1,Urogenital_tract
Corynebacterium glucuronolyticum ATCC 51867 (548477.4),548477,1,1,1,1,0,1,1,0,Urogenital_tract
Corynebacterium jeikeium ATCC 43734 (525262.3),525262,0,0,1,1,1,1,1,1,Urogenital_tract
Corynebacterium lipophiloflavum DSM 44291 (525263.3),525263,0,0,1,1,1,1,1,1,Urogenital_tract
Corynebacterium matruchotii ATCC 14266 (553207.3),553207,0,1,1,0,0,0,0,0,Oral
Corynebacterium pseudogenitalium ATCC 33035 (525264.4),525264,1,0,1,0,0,1,1,0,Urogenital_tract
Corynebacterium striatum ATCC 6940 (525268.3),525268,1,0,1,1,1,1,1,1,Urogenital_tract
Corynebacterium tuberculostearicum SK141 (553206.4),553206,0,0,1,0,0,1,1,0,Skin
Dermacoccus sp. Ellin185 (188626.3),188626,0,1,1,0,1,1,1,0,Skin
Desmospora sp. 8437 (997346.3),997346,0,0,0,1,1,0,1,1,Blood
Dialister invisus DSM 15470 (592028.3),592028,1,1,1,0,0,0,1,0,Oral
Dialister micraerophilus DSM 19965 (888062.3),888062,0,0,0,0,0,0,1,0,Urogenital_tract
Dialister microaerophilus UPII 345-E (910314.3),910314,0,0,0,0,0,0,1,0,Urogenital_tract
Eikenella corrodens ATCC 23834 (546274.4),546274,0,0,1,1,1,1,1,0,Oral
Enhydrobacter aerosaccus SK60 (553217.3),553217,0,0,1,1,1,1,1,0,Skin
Enterobacter hormaechei ATCC 49162 (888063.3),888063,1,0,1,1,1,1,1,1,Oral
Enterococcus casseliflavus ATCC 12755 (888066.3),888066,0,0,0,0,0,0,1,0,Oral
Enterococcus durans FB129-CNAB-4 (883162.3),883162,0,0,0,0,0,0,0,0,Urogenital_tract
Enterococcus faecalis TUSoD Ef11 (553209.3),553209,0,0,0,0,0,0,0,0,Oral
Enterococcus faecium TX0082 (749520.3),749520,0,0,0,0,0,0,0,0,Blood
Enterococcus italicus DSM 15952 (888064.3),888064,0,0,0,0,0,0,0,0,Oral
Eremococcus coleocola ACS-139-V-Col8 (908337.3),908337,0,0,0,0,0,0,0,0,Urogenital_tract
Erysipelothrix rhusiopathiae ATCC 19414 (525280.3),525280,0,0,0,0,0,0,0,0,Skin
Escherichia coli 83972 (525281.3),525281,1,0,1,1,1,1,1,1,Urogenital_tract
Eubacteriaceae bacterium OBRC8 (796941.3),796941,0,1,0,0,0,0,0,0,Oral
Eubacterium infirmum F0142 (883109.3),883109,0,1,0,0,0,0,0,1,Oral
Eubacterium saphenum ATCC 49989 (592031.3),592031,0,0,0,0,0,0,1,0,Oral
Eubacterium sp. AS15 (1115804.3),936556,0,1,0,0,0,0,1,0,Oral
Eubacterium yurii subsp. margaretiae ATCC 43715 (864565.3),864565,0,1,0,0,0,0,1,0,Oral
Filifactor alocis ATCC 35896 (546269.5),546269,0,0,0,1,0,0,1,0,Oral
Finegoldia magna ATCC 53516 (525282.5),525282,0,0,1,0,0,0,0,1,Urogenital_tract
Fusobacterium necrophorum subsp. funduliforme ATCC 51357 (1095747.3),1095747,1,1,1,1,1,0,1,1,Liver
Fusobacterium nucleatum subsp. polymorphum F0401 (693991.3),693991,1,1,1,1,0,0,1,1,Oral
Fusobacterium periodonticum ATCC 33693 (546275.3),546275,1,1,1,1,0,0,1,1,Oral
Gardnerella vaginalis 409-05 (553190.4),553190,0,0,0,0,0,1,0,1,Urogenital_tract
Gemella haemolysans ATCC 10379 (546270.5),546270,0,0,0,0,0,0,1,0,Oral
Gemella sanguinis M325 (562983.3),562983,0,0,0,0,0,0,0,0,Airways
Granulicatella adiacens ATCC 49175 (638301.3),638301,0,0,0,0,0,0,0,0,Oral
Granulicatella elegans ATCC 700633 (626369.3),626369,0,0,0,0,0,0,0,0,Oral
Haemophilus aegyptius ATCC 11116 (888728.3),888728,1,0,1,0,0,0,1,0,Oral
Haemophilus parainfluenzae ATCC 33392 (888828.3),888828,1,0,1,0,0,0,1,0,Skin
Haemophilus sp. oral taxon 851 str. F0397 (762965.3),762965,1,0,1,0,0,0,1,0,Oral
Haemophilus sputorum HK 2154 (1078483.3),1078483,0,0,1,0,0,0,1,0,Blood
Johnsonella ignava ATCC 51276 (679200.3),679200,0,1,0,0,0,0,1,1,Oral
Jonquetella anthropi E3_33 E1 (645512.3),645512,0,1,0,0,1,0,1,1,Oral
Kingella denitrificans ATCC 33394 (888741.3),888741,0,0,0,0,1,1,1,0,Airways
Kingella kingae ATCC 23330 (887327.3),887327,0,0,1,0,1,1,1,0,Airways
Kingella oralis ATCC 51147 (629741.3),629741,0,0,0,0,1,1,1,0,Oral
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 (667127.3),667127,1,1,1,1,1,1,1,1,Airways
Klebsiella sp. OBRC7 (936565.3),936565,1,1,1,1,1,1,1,1,Oral
Lachnospiraceae bacterium ICM7 (936594.3),936594,0,1,0,0,0,0,0,0,Oral
Lachnospiraceae oral taxon 107 str. F0167 (575593.3),575593,0,1,0,0,0,0,0,0,Oral
Lactobacillus coleohominis 101-4-CHN (575594.3),575594,0,0,0,0,0,0,0,0,Urogenital_tract
Lactobacillus crispatus CTV-05 (440496.3),440496,0,0,0,0,0,0,1,0,Urogenital_tract
Lactobacillus fermentum 28-3-CHN (575599.3),575599,0,0,0,0,0,0,1,0,Urogenital_tract
Lactobacillus gasseri MV-22 (559301.5),559301,0,0,0,0,0,0,0,0,Urogenital_tract
Lactobacillus iners ATCC 55195 (888801.3),888801,0,0,0,0,0,0,0,0,Urogenital_tract
Lactobacillus jensenii JV-V16 (525329.3),525329,0,0,0,0,0,0,1,0,Urogenital_tract
Lactobacillus johnsonii ATCC 33200 (525330.3),525330,0,0,0,0,0,0,0,0,Urogenital_tract
Lactobacillus oris F0423 (944562.4),944562,0,0,0,0,0,0,1,0,Oral
Lactobacillus parafarraginis F0439 (797515.3),797515,0,0,0,1,0,1,1,0,Oral
Lactobacillus vaginalis ATCC 49540 (525366.3),1423814,0,0,0,0,0,0,0,0,Urogenital_tract
Lautropia mirabilis ATCC 51599 (887898.3),887898,0,1,0,1,0,1,1,0,Oral
Leptotrichia hofstadii F0254 (634994.3),634994,0,1,0,0,0,0,1,0,Oral
Megasphaera genomosp. type_1 str. 28L (699218.3),699218,1,1,1,0,1,0,1,1,Urogenital_tract
Megasphaera micronuciformis F0359 (706434.3),706434,0,1,0,0,0,0,1,1,Oral
Megasphaera sp. UPII 199-6 (1000568.3),1000568,1,1,1,0,1,0,1,1,Urogenital_tract
Micrococcus luteus SK58 (596312.3),596312,0,0,1,1,1,1,1,1,Skin
Mobiluncus curtisii ATCC 43063 (548479.6),548479,0,0,0,1,0,1,0,0,Urogenital_tract
Mobiluncus mulieris FB024-16 (866770.3),866770,0,0,0,0,1,1,0,0,Urogenital_tract
Mogibacterium sp. CM50 (936375.3),936375,0,0,0,0,0,0,1,1,Oral
Mycobacterium parascrofulaceum ATCC BAA-614 (525368.3),525368,0,1,1,1,1,1,1,1,Urogenital_tract
Neisseria bacilliformis ATCC BAA-1200 (888742.3),888742,1,0,1,1,1,0,1,1,Oral
Neisseria cinerea ATCC 14685 (546262.4),546262,1,0,1,1,1,0,1,1,Airways
Neisseria elongata subsp. glycolytica ATCC 29315 (546263.3),546263,1,0,1,1,0,1,1,1,Airways
Neisseria flavescens SK114 (596320.3),596320,1,0,1,1,1,1,1,1,Skin
Neisseria lactamica ATCC 23970 (546265.5),546265,1,0,1,1,1,1,1,1,Airways
Neisseria meningitidis ATCC 13091 (862513.3),862513,1,0,1,1,1,1,1,1,Airways
Neisseria mucosa C102 (435832.3),435832,1,0,1,1,1,1,1,1,Airways
Neisseria polysaccharea ATCC 43768 (546267.4),546267,1,0,1,1,1,1,1,1,Airways
Neisseria shayeganii 871 (1032488.3),1032488,1,0,1,1,0,1,1,1,Airways
Neisseria sicca ATCC 29256 (547045.3),547045,1,0,1,1,1,1,1,1,Airways
Neisseria sp. oral taxon 014 str. F0314 (641149.3),641149,1,0,1,0,1,1,1,0,Oral
Neisseria subflava NJ9703 (546268.4),546268,1,0,1,1,1,1,1,1,Oral
Neisseria wadsworthii 9715 (1030841.3),1030841,1,0,1,1,1,1,1,1,Skin
Olsenella sp. oral taxon 809 str. F0356 (661087.3),661087,0,0,0,0,0,0,0,0,Oral
Oribacterium sinus F0268 (585501.3),585501,0,0,0,0,0,0,0,0,Oral
Oribacterium sp. oral taxon 108 str. F0425 (904296.3),904296,0,0,0,0,0,0,0,0,Oral
Paenibacillus sp. oral taxon 786 str. D14 (621372.3),621372,0,0,1,1,1,1,1,1,Oral
Parascardovia denticolens DSM 10105 = JCM 12538 (864564.4),864564,0,0,0,0,0,0,0,0,Oral
Parvimonas sp. oral taxon 110 str. F0139 (767100.3),767100,0,0,0,0,0,0,0,0,Oral
Parvimonas sp. oral taxon 393 str. F0440 (944565.4),944565,0,0,0,0,0,0,0,0,Oral
Pasteurella dagmatis ATCC 43325 (667128.3),667128,1,0,1,0,0,0,1,0,Airways
Peptoniphilus duerdenii ATCC BAA-1640 (862517.3),862517,0,0,0,0,0,0,1,0,Urogenital_tract
Peptoniphilus harei ACS-146-V-Sch2b (908338.3),908338,0,0,1,1,0,0,1,0,Urogenital_tract
Peptoniphilus lacrimalis 315-B (596330.3),596330,0,0,0,1,0,0,1,0,Urogenital_tract
Peptoniphilus sp. oral taxon 375 str. F0436 (879308.3),879308,0,1,0,1,0,0,1,0,Oral
Peptostreptococcus anaerobius 653-L (596329.3),596329,0,1,0,1,0,0,1,1,Skin
Peptostreptococcus stomatis DSM 17678 (596315.3),596315,0,1,0,1,1,0,1,1,Oral
Porphyromonas asaccharolytica PR426713P-I (910312.3),910312,1,1,1,1,1,1,1,1,Urogenital_tract
Porphyromonas endodontalis ATCC 35406 (553175.3),553175,1,1,1,1,1,1,1,1,Oral
Porphyromonas gingivalis ATCC 33277 (431947.7),431947,1,1,1,1,1,1,1,1,Oral
Porphyromonas sp. oral taxon 279 str. F0450 (1125723.3),1125723,0,1,1,0,1,1,1,1,Oral
Porphyromonas uenonis 60-3 (596327.3),596327,1,1,1,1,1,1,1,1,Urogenital_tract
Prevotella amnii CRIS 21A-A (679191.3),679191,0,0,1,1,1,1,1,0,Urogenital_tract
Prevotella bergensis DSM 17361 (585502.3),585502,0,0,0,1,1,1,1,1,Skin
Prevotella bivia JCVIHMP010 (553171.3),553171,0,0,1,1,1,1,1,1,Urogenital_tract
Prevotella buccae ATCC 33574 (873513.3),873513,0,0,1,1,1,1,1,1,Oral
Prevotella buccalis ATCC 35310 (679190.3),679190,0,0,1,1,0,1,1,0,Urogenital_tract
Prevotella dentalis DSM 3688 (908937.4),908937,0,0,0,0,0,1,1,0,Oral
Prevotella denticola F0289 (767031.3),767031,0,0,1,1,1,1,1,0,Oral
Prevotella disiens FB035-09AN (866771.4),866771,0,0,1,1,1,1,1,1,Urogenital_tract
Prevotella histicola F0411 (857291.3),857291,0,0,1,1,1,1,1,0,Oral
Prevotella marshii DSM 16973 (862515.4),862515,0,0,1,0,1,1,1,0,Oral
Prevotella melaninogenica ATCC 25845 (553174.6),553174,0,0,1,1,1,1,1,1,Oral
Prevotella micans F0438 (883158.3),883158,0,0,1,1,1,1,1,0,Oral
Prevotella multiformis DSM 16608 (888743.3),888743,0,0,1,1,1,1,1,0,Oral
Prevotella nigrescens ATCC 33563 (997352.4),997352,0,0,1,1,1,1,1,1,Oral
Prevotella oralis ATCC 33269 (873533.3),873533,0,0,1,1,0,0,1,0,Urogenital_tract
Prevotella oris F0302 (649760.3),649760,0,0,0,0,1,1,1,0,Oral
Prevotella oulorum F0390 (702438.4),702438,0,0,0,0,1,1,1,0,Oral
Prevotella pallens ATCC 700821 (997353.4),997353,0,0,1,1,1,1,1,1,Oral
Prevotella sp. MSX73 (1032506.3),1032506,0,0,1,1,1,1,1,1,Oral
Prevotella sp. oral taxon 299 str. F0039 (575614.3),575614,0,0,0,0,1,1,1,0,Oral
Prevotella tannerae ATCC 51259 (626522.3),626522,0,0,1,1,1,1,1,0,Oral
Prevotella timonensis CRIS 5C-B1 (679189.3),679189,0,0,0,1,0,1,1,0,Urogenital_tract
Prevotella veroralis F0319 (649761.3),649761,0,0,1,0,1,1,1,0,Oral
Propionibacterium acnes SK137 (553199.9),553199,1,1,1,0,0,1,1,1,Skin
Propionibacterium avidum ATCC 25577 (997355.3),997355,0,1,1,1,0,1,1,0,Oral
Propionibacterium propionicum F0230a (767029.3),767029,0,1,0,0,0,0,0,0,Oral
Propionibacterium sp. CC003-HC2 (1005703.3),1005703,0,1,1,0,0,1,1,1,Oral
Proteus mirabilis ATCC 29906 (525369.4),525369,1,0,1,0,1,1,1,1,Urogenital_tract
Pseudoramibacter alactolyticus ATCC 23263 (887929.3),887929,0,1,0,1,1,0,1,1,Oral
Pyramidobacter piscolens W5455 (352165.3),352165,0,1,0,0,1,0,1,0,Oral
Rhodococcus equi ATCC 33707 (525370.3),525370,0,1,1,1,1,1,1,1,Skin
Rhodococcus erythropolis SK121 (596309.3),596309,0,1,1,1,1,1,1,1,Skin
Roseomonas cervicalis ATCC 49957 (525371.3),525371,0,1,0,0,0,1,1,0,Urogenital_tract
Rothia aeria F0474 (1125724.3),1125724,0,0,1,0,0,1,1,1,Oral
Rothia dentocariosa ATCC 17931 (762948.4),762948,0,0,1,0,0,1,1,1,Oral
Rothia mucilaginosa M508 (563033.4),563033,0,0,1,0,0,1,1,1,Airways
Scardovia inopinata F0304 (641146.3),641146,0,0,0,0,0,0,0,0,Oral
Scardovia wiggsiae F0424 (857290.3),857290,0,0,0,0,0,0,0,0,Oral
Segniliparus rugosus ATCC BAA-974 (679197.3),679197,0,0,0,1,0,1,1,1,Airways
Selenomonas artemidis F0399 (749551.3),749551,0,1,0,0,0,0,1,0,Oral
Selenomonas flueggei ATCC 43531 (638302.3),638302,0,1,0,0,0,0,1,0,Oral
Selenomonas infelix ATCC 43532 (679201.3),679201,0,1,0,0,0,0,1,0,Oral
Selenomonas noxia F0398 (702437.3),702437,0,1,0,0,0,0,1,0,Oral
Selenomonas sp. F0473 (999423.3),999423,0,1,0,0,0,0,1,0,Oral
Selenomonas sp. oral taxon 137 str. F0430 (879310.3),879310,0,1,0,0,0,0,1,0,Oral
Selenomonas sputigena ATCC 35185 (546271.5),546271,0,1,0,0,1,0,1,1,Oral
Serratia odorifera DSM 4582 (667129.3),667129,1,0,1,1,1,1,1,1,Airways
Shuttleworthia satelles DSM 14600 (626523.3),626523,0,1,0,0,0,0,0,0,Oral
Simonsiella muelleri ATCC 29453 (641147.3),641147,0,0,1,0,1,1,1,0,Oral
Slackia exigua ATCC 700122 (649764.3),649764,0,0,0,0,0,1,0,0,Oral
Slackia sp. CM382 (1111137.3),1111137,0,0,0,0,0,1,0,0,Oral
Solobacterium moorei F0204 (706433.3),706433,0,0,0,0,0,0,0,0,Oral
Sphingobacterium spiritivorum ATCC 33861 (525373.3),525373,0,0,1,1,1,1,1,1,Urogenital_tract
Staphylococcus aureus subsp. aureus MN8 (548470.3),548470,1,0,1,0,1,1,1,0,Urogenital_tract
Staphylococcus capitis SK14 (553212.3),553212,0,0,1,0,1,1,1,1,Skin
Staphylococcus caprae C87 (435838.3),435838,0,0,1,0,1,1,1,1,Airways
Staphylococcus epidermidis SK135 (596317.3),596317,1,0,1,0,1,1,1,1,Skin
Staphylococcus hominis SK119 (629742.3),629742,0,0,1,0,1,1,1,1,Skin
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3),883164,0,0,1,0,0,1,1,1,Urogenital_tract
Staphylococcus simulans ACS-120-V-Sch1 (883166.5),883166,0,0,1,1,0,1,1,1,Urogenital_tract
Staphylococcus warneri L37603 (596319.3),596319,0,0,1,0,1,1,1,1,Skin
Streptococcus anginosus SK1138 (1161422.3),1161422,0,0,0,0,0,0,0,0,Blood
Streptococcus australis ATCC 700641 (888833.3),888833,0,1,1,0,0,0,0,0,Oral
Streptococcus bovis ATCC 700338 (864569.5),864569,0,0,1,1,0,0,1,0,Urogenital_tract
Streptococcus constellatus subsp. constellatus SK53 (1095730.3),1095730,0,0,0,0,0,0,0,0,Airways
Streptococcus cristatus ATCC 51100 (889201.3),889201,0,0,1,0,0,0,0,0,Oral
Streptococcus downei F0415 (904293.3),904293,0,0,0,0,0,0,0,0,Oral
Streptococcus dysgalactiae subsp. equisimilis SK1250 (1005706.3),1005706,0,0,1,0,0,0,0,0,Oral
Streptococcus gallolyticus subsp. gallolyticus TX20005 (545774.3),545774,0,0,1,1,1,1,1,0,Heart
Streptococcus infantis ATCC 700779 (889204.3),889204,0,0,1,0,0,1,0,0,Airways
Streptococcus intermedius SK54 (1095731.3),1095731,0,0,0,0,0,0,0,0,Oral
Streptococcus mitis bv. 2 str. F0392 (768726.4),768726,0,0,1,0,0,1,0,0,Oral
Streptococcus oralis SK1074 (1095738.3),1095738,0,0,1,0,0,1,0,0,Blood
Streptococcus parasanguinis ATCC 15912 (760570.3),760570,0,0,1,0,0,0,0,0,Oral
Streptococcus peroris ATCC 700780 (888746.3),888746,0,0,0,0,0,1,0,0,Oral
Streptococcus pneumoniae TCH8431/19A (525381.4),525381,0,0,1,1,0,1,1,0,Airways
Streptococcus pseudoporcinus SPIN 20026 (910313.3),910313,0,0,1,0,0,0,0,0,Urogenital_tract
Streptococcus pyogenes ATCC 10782 (864568.3),864568,0,0,1,1,0,0,0,0,Airways
Streptococcus salivarius SK126 (596322.3),596322,0,0,1,0,0,1,0,0,Skin
Streptococcus sanguinis SK405 (888817.3),888817,0,1,1,0,0,0,0,0,Blood
Streptococcus sp. AS14 (936577.3),936577,0,1,1,0,0,0,0,0,Oral
Streptococcus sp. BS35b (1105032.3),1105032,0,0,1,0,0,1,0,0,Oral
Streptococcus sp. F0441 (999424.3),999424,0,0,1,0,0,1,0,0,Oral
Streptococcus sp. F0442 (999425.3),999425,0,1,1,0,0,0,0,0,Oral
Streptococcus sp. M143 (563037.3),563037,0,0,1,0,0,1,0,0,Airways
Streptococcus sp. oral taxon 056 str. F0418 (904294.3),904294,0,0,0,0,0,0,0,0,Oral
Streptococcus sp. oral taxon 071 str. 73H25AP (864570.3),864570,0,0,1,0,0,1,0,0,Oral
Streptococcus sp. SK140 (1095726.3),1095726,0,0,1,0,0,1,0,0,Oral
Streptococcus urinalis FB127-CNA-2 (883168.3),883168,0,0,1,0,0,0,0,0,Urogenital_tract
Streptococcus vestibularis F0396 (904306.3),904306,0,0,1,0,0,1,0,0,Oral
Synergistetes bacterium SGP1 (651822.3),651822,0,0,0,0,0,0,1,1,Oral
Treponema denticola F0402 (699187.3),699187,0,1,0,0,0,0,0,0,Oral
Treponema phagedenis F0421 (754027.3),754027,0,0,0,0,0,0,1,0,Urogenital_tract
Treponema vincentii ATCC 35580 (596324.3),596324,0,0,0,0,0,0,0,1,Oral
Veillonella atypica ACS-049-V-Sch6 (866776.4),866776,1,1,0,0,0,0,1,0,Urogenital_tract
Veillonella dispar ATCC 17748 (546273.3),546273,1,1,0,0,0,0,1,0,Oral
Veillonella parvula ATCC 17745 (686660.3),686660,1,1,0,0,0,0,1,1,Oral
Veillonella ratti ACS-216-V-Col6b (883156.3),883156,1,1,1,0,1,0,1,1,Urogenital_tract
Veillonella sp. ACP1 (936588.3),936588,1,1,0,0,0,0,1,0,Oral
Veillonella sp. oral taxon 158 str. F0412 (879309.3),879309,1,1,0,0,0,0,1,0,Oral
